,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
10282,HONDA CITY,200000.0,,Bharuch,2011,Petrol,150000,Automatic,1497.0,1,2011,-,CarDekho, S ,15,15,0,True,684,True,10000.0,False,0.06666666666666667
10283,HONDA JAZZ,180000.0,,Gurgaon,2012,Petrol,120000,Manual,1198.0,2,2012,-,CarDekho,BASIC,14,14,1,True,127,True,8571.43,False,0.14285714285714285
10284,DATSUN GO,137000.0,,New Delhi,2017,Petrol,23380,Manual,1198.0,2,2017,Third Party,CarDekho,T BSIV,9,9,6,False,19,False,2597.78,False,0.2222222222222222
10285,TOYOTA ETIOS,125000.0,,New Delhi,2011,Petrol,80000,Manual,1496.0,3,2011,-,CarDekho,G,15,15,0,True,144,False,5333.33,False,0.2
10286,MARUTI RITZ,125000.0,,Gurgaon,2013,Petrol,106000,Manual,1197.0,1,2013,-,CarDekho,VXI (ABS) BS IV,13,13,2,True,51,True,8153.85,False,0.07692307692307693
10287,MARUTI WAGON R,199000.0,,ballabhgarh,2013,Petrol,47000,Manual,998.0,1,2013,Third Party,CarDekho,VXI BS IV,13,13,2,True,595,True,3615.38,False,0.07692307692307693
10288,HYUNDAI I10,168000.0,,Noida,2014,Petrol,75621,Manual,1086.0,1,2014,Third Party,CarDekho,MAGNA ,12,12,3,True,373,True,6301.75,False,0.08333333333333333
10289,HYUNDAI SANTRO XING,105000.0,,New Delhi,2012,Petrol,110000,Manual,1086.0,1,2012,-,CarDekho,GL,14,14,1,True,30,False,7857.14,False,0.07142857142857142
10290,TOYOTA ETIOS,130000.0,,New Delhi,2011,Petrol,120000,Manual,1496.0,1,2011,-,CarDekho,G SAFETY,15,15,0,True,144,False,8000.0,False,0.06666666666666667
10291,HYUNDAI I10,195000.0,,New Delhi,2013,Petrol,69000,Manual,1197.0,2,2013,Third Party,CarDekho,MAGNA,13,13,2,True,373,False,5307.69,False,0.15384615384615385
10292,MARUTI WAGON R,150000.0,,Ranchi,2011,Petrol,98000,Manual,998.0,1,2011,-,CarDekho,VXI BS IV,15,15,0,True,595,True,6533.33,False,0.06666666666666667
10293,MARUTI WAGON R,173000.0,,New Delhi,2013,Petrol,90000,Manual,998.0,1,2013,-,CarDekho,LXI BS IV,13,13,2,True,595,False,6923.08,False,0.07692307692307693
10294,HONDA CITY,150000.0,,New Delhi,2011,Petrol,90000,Automatic,1497.0,2,2011,-,CarDekho, S ,15,15,0,True,684,False,6000.0,False,0.13333333333333333
10295,HONDA CITY,180000.0,,New Delhi,2012,Petrol,120000,Manual,1497.0,4,2012,-,CarDekho,E,14,14,1,True,684,False,8571.43,False,0.2857142857142857
10296,MARUTI WAGON R,149000.0,,New Delhi,2014,Petrol,95485,Manual,998.0,1,2014,Third Party,CarDekho,LXI BS IV,12,12,3,True,595,False,7957.08,False,0.08333333333333333
10297,MARUTI WAGON R,110000.00000000001,,New Delhi,2011,CNG,120000,Manual,998.0,1,2011,-,CarDekho,LXI ,15,15,0,True,595,False,8000.0,False,0.06666666666666667
10298,MARUTI WAGON R,173000.0,,New Delhi,2015,Petrol,68413,Manual,998.0,2,2015,Third Party,CarDekho,VXI BS IV,11,11,4,False,595,False,6219.36,False,0.18181818181818182
10299,VOLKSWAGEN POLO,190000.0,,Noida,2011,Petrol,70000,Manual,1198.0,2,2011,-,CarDekho, HIGHLINE ,15,15,0,True,114,True,4666.67,False,0.13333333333333333
10300,HYUNDAI I10,151000.0,,New Delhi,2014,Petrol,65308,Manual,1086.0,1,2014,Third Party,CarDekho,MAGNA ,12,12,3,True,373,False,5442.33,False,0.08333333333333333
10301,RENAULT KWID,152000.0,,New Delhi,2016,Petrol,67282,Manual,999.0,1,2016,-,CarDekho, RXT,10,10,5,False,190,False,6728.2,False,0.1
10302,RENAULT KWID,171000.0,,New Delhi,2016,Petrol,106002,Automatic,999.0,2,2016,Comprehensive,CarDekho, A RXT,10,10,5,False,190,False,10600.2,False,0.2
10303,HYUNDAI SANTRO XING,157000.0,,New Delhi,2013,Petrol,45000,Manual,1086.0,1,2013,-,CarDekho,GL,13,13,2,True,30,False,3461.54,False,0.07692307692307693
10304,HONDA BRIO,179000.0,,New Delhi,2013,Petrol,80000,Manual,1198.0,1,2013,-,CarDekho,S ,13,13,2,True,106,False,6153.85,False,0.07692307692307693
10305,MARUTI WAGON R,175000.0,,New Delhi,2011,Petrol,26000,Manual,998.0,1,2011,-,CarDekho,LXI BS IV,15,15,0,True,595,False,1733.33,False,0.06666666666666667
10306,RENAULT KWID,200000.0,,New Delhi,2017,Petrol,20000,Automatic,999.0,1,2017,-,CarDekho, A RXT,9,9,6,False,190,False,2222.22,False,0.1111111111111111
10308,NISSAN MICRA,150000.0,,Noida,2014,Petrol,100000,Manual,1198.0,2,2014,-,CarDekho,XL,12,12,3,True,17,True,8333.33,False,0.16666666666666666
10310,RENAULT KWID,140000.0,,New Delhi,2017,Petrol,60000,Manual,999.0,1,2017,-,CarDekho, RXT,9,9,6,False,190,False,6666.67,False,0.1111111111111111
10311,FORD ECOSPORT,200000.0,,New Delhi,2014,Petrol,80000,Manual,1499.0,2,2014,-,CarDekho, TI VCT  TREND,12,12,3,True,314,False,6666.67,False,0.16666666666666666
10312,HYUNDAI SANTRO XING,160000.0,,New Delhi,2013,Petrol,44000,Manual,1086.0,1,2013,-,CarDekho,GL,13,13,2,True,30,False,3384.62,False,0.07692307692307693
10313,HYUNDAI I10,150000.0,,New Delhi,2013,Petrol,60000,Manual,1086.0,2,2013,-,CarDekho,ERA,13,13,2,True,373,False,4615.38,False,0.15384615384615385
10314,MARUTI SWIFT DZIRE,180000.0,,New Delhi,2012,Petrol,35000,Manual,1197.0,1,2012,Third Party,CarDekho,VXI BSVI,14,14,1,True,92,False,2500.0,False,0.07142857142857142
10315,MARUTI ALTO 800,175000.0,,New Delhi,2019,Petrol,65000,Manual,796.0,1,2018,Third Party,CarDekho,VXI,8,7,7,False,57,False,8125.0,False,0.125
10316,MAHINDRA KUV 100,200000.0,,New Delhi,2016,Petrol,50000,Manual,1198.0,1,2016,-,CarDekho,MFALCON G80 K2 PLUS,10,10,5,False,10,False,5000.0,False,0.1
10317,RENAULT KWID,157000.0,,Hodal,2017,Petrol,75770,Manual,799.0,2,2017,-,CarDekho,RXL,9,9,6,False,190,True,8418.89,False,0.2222222222222222
10318,HYUNDAI I10,165000.0,,New Delhi,2014,Petrol,55951,Manual,1086.0,2,2014,-,CarDekho,SPORTZ ,12,12,3,True,373,False,4662.58,False,0.16666666666666666
10319,MARUTI ALTO K10,200000.0,,ballabhgarh,2016,CNG,160000,Manual,998.0,1,2016,-,CarDekho,LXI ,10,10,5,False,39,True,16000.0,False,0.1
10320,MARUTI ALTO 800,200000.0,,New Delhi,2016,Petrol,19000,Manual,796.0,1,2016,-,CarDekho,STD,10,10,5,False,57,False,1900.0,False,0.1
10321,HYUNDAI EON,160000.0,,New Delhi,2014,Petrol,100000,Manual,814.0,1,2014,-,CarDekho,ERA PLUS,12,12,3,True,109,False,8333.33,False,0.08333333333333333
10322,MARUTI WAGON R,186000.0,,Gurgaon,2012,CNG,84020,Manual,998.0,2,2012,Comprehensive,CarDekho,LXI ,14,14,1,True,595,True,6001.43,False,0.14285714285714285
10323,HYUNDAI SANTRO XING,150000.0,,New Delhi,2013,Petrol,210000,Manual,1086.0,1,2013,-,CarDekho,GL,13,13,2,True,30,False,16153.85,False,0.07692307692307693
10325,RENAULT KWID,149000.0,,Gurgaon,2016,Petrol,71643,Manual,999.0,2,2016,-,CarDekho, RXT,10,10,5,False,190,True,7164.3,False,0.2
10326,MARUTI WAGON R,120000.0,,Thane,2012,CNG,120000,Manual,998.0,1,2012,-,CarDekho,LXI ,14,14,1,True,595,True,8571.43,False,0.07142857142857142
10327,HYUNDAI I10,190000.0,,Alwar,2015,Petrol,80000,Manual,1086.0,1,2015,-,CarDekho,SPORTZ ,11,11,4,False,373,True,7272.73,False,0.09090909090909091
10329,MARUTI ALTO K10,120000.0,,New Delhi,2011,Petrol,60000,Manual,998.0,2,2011,-,CarDekho,LXI,15,15,0,True,39,False,4000.0,False,0.13333333333333333
10330,HONDA BRIO,175000.0,,New Delhi,2012,Petrol,81000,Manual,1198.0,1,2012,-,CarDekho,S ,14,14,1,True,106,False,5785.71,False,0.07142857142857142
10331,HONDA AMAZE,190000.0,,New Delhi,2014,Petrol,47000,Manual,1198.0,2,2014,-,CarDekho,EX I-VTECH,12,12,3,True,408,False,3916.67,False,0.16666666666666666
10332,HYUNDAI SANTRO XING,125000.0,,New Delhi,2012,Petrol,43000,Manual,1086.0,1,2012,-,CarDekho,GL,14,14,1,True,30,False,3071.43,False,0.07142857142857142
10333,RENAULT KWID,198000.0,,New Delhi,2017,Petrol,50004,Automatic,999.0,1,2017,-,CarDekho, A RXT,9,9,6,False,190,False,5556.0,False,0.1111111111111111
10334,HYUNDAI GRAND I10,181000.0,,Hisar,2014,Petrol,91388,Manual,1197.0,2,2014,Third Party,CarDekho,SPORTZ,12,12,3,True,457,True,7615.67,False,0.16666666666666666
10335,RENAULT KWID,182000.0,,Ghaziabad,2018,Petrol,43994,Manual,999.0,2,2018,Third Party,CarDekho, RXL,8,8,7,False,190,True,5499.25,False,0.25
10336,MARUTI ALTO K10,160000.0,,New Delhi,2015,Petrol,43145,Manual,998.0,1,2015,Comprehensive,CarDekho,VXI,11,11,4,False,39,False,3922.27,False,0.09090909090909091
10337,HYUNDAI I20,200000.0,,Noida,2012,Petrol,150000,Manual,1197.0,1,2012,-,CarDekho,MAGNA,14,14,1,True,314,True,10714.29,False,0.07142857142857142
10338,DATSUN GO PLUS,150000.0,,New Delhi,2016,Petrol,200000,Manual,1198.0,1,2016,-,CarDekho,T BSIV,10,10,5,False,3,False,20000.0,False,0.1
10339,HYUNDAI EON,171000.0,,New Delhi,2015,Petrol,58319,Manual,814.0,1,2015,Third Party,CarDekho,ERA PLUS,11,11,4,False,109,False,5301.73,False,0.09090909090909091
10340,HYUNDAI GRAND I10,170000.0,,New Delhi,2014,Petrol,80000,Manual,1197.0,4,2014,-,CarDekho,MAGNA,12,12,3,True,457,False,6666.67,False,0.3333333333333333
10341,HYUNDAI EON,150000.0,,New Delhi,2015,Petrol,57000,Manual,814.0,1,2015,-,CarDekho,D LITE,11,11,4,False,109,False,5181.82,False,0.09090909090909091
10342,CHEVROLET BEAT,150000.0,,New Delhi,2016,Petrol,30000,Manual,1199.0,1,2016,-,CarDekho,LS,10,10,5,False,14,False,3000.0,False,0.1
10343,RENAULT KWID,193000.0,,New Delhi,2018,Petrol,54919,Manual,799.0,3,2017,Comprehensive,CarDekho,RXT,9,8,6,False,190,False,6102.11,False,0.3333333333333333
10344,DATSUN REDIGO,125000.0,,Sohna,2019,Petrol,45000,Manual,999.0,2,2019,-,CarDekho, T OPTION,7,7,8,False,6,True,6428.57,False,0.2857142857142857
10345,MARUTI ALTO K10,190000.0,,New Delhi,2014,Petrol,70138,Manual,998.0,2,2014,-,CarDekho,LXI,12,12,3,True,39,False,5844.83,False,0.16666666666666666
10346,MARUTI ALTO 800,159000.0,,Gurgaon,2015,Petrol,51074,Manual,796.0,2,2015,Third Party,CarDekho,VXI,11,11,4,False,57,True,4643.09,False,0.18181818181818182
10348,HYUNDAI EON,135000.0,,Noida,2011,Petrol,60000,Manual,814.0,1,2011,-,CarDekho,MAGNA,15,15,0,True,109,True,4000.0,False,0.06666666666666667
10349,MARUTI RITZ,190000.0,,New Delhi,2012,Petrol,70000,Manual,1197.0,2,2012,Comprehensive,CarDekho,ZXI,14,14,1,True,51,False,5000.0,False,0.14285714285714285
10350,HYUNDAI SANTRO XING,160000.0,,New Delhi,2012,CNG,66000,Manual,1086.0,1,2012,-,CarDekho,GLS ,14,14,1,True,30,False,4714.29,False,0.07142857142857142
10352,MARUTI WAGON R,114999.99999999999,,Gurgaon,2011,Petrol,100000,Manual,998.0,2,2011,-,CarDekho,LXI BS IV,15,15,0,True,595,True,6666.67,False,0.13333333333333333
10353,MARUTI WAGON R,150000.0,,New Delhi,2013,Petrol,41500,Manual,998.0,1,2013,Zero Dep,CarDekho,VXI BS IV,13,13,2,True,595,False,3192.31,False,0.07692307692307693
10354,HYUNDAI I10,150000.0,,Ghaziabad,2013,Petrol,60000,Manual,1086.0,1,2013,-,CarDekho,ERA,13,13,2,True,373,True,4615.38,False,0.07692307692307693
10355,MARUTI CELERIO,187000.0,,New Delhi,2014,Petrol,64789,Automatic,998.0,2,2014,Third Party,CarDekho,VXI A,12,12,3,True,170,False,5399.08,False,0.16666666666666666
10356,FORD FIGO,150000.0,,Panipat,2012,Diesel,120000,Manual,1399.0,1,2012,-,CarDekho, ZXI,14,14,-4,True,62,True,8571.43,False,0.07142857142857142
10357,HYUNDAI I10,158000.0,,Gurgaon,2016,Petrol,111888,Manual,1086.0,2,2015,Third Party,CarDekho,MAGNA ,11,10,4,False,373,True,10171.64,False,0.18181818181818182
10360,HYUNDAI SANTRO XING,130000.0,,New Delhi,2012,Petrol,30000,Manual,1086.0,1,2012,-,CarDekho,GL,14,14,1,True,30,False,2142.86,False,0.07142857142857142
10361,HONDA BRIO,155000.0,,New Delhi,2012,Petrol,90000,Manual,1198.0,2,2012,-,CarDekho,S ,14,14,1,True,106,False,6428.57,False,0.14285714285714285
10362,SKODA FABIA,135000.0,,Jamshedpur,2011,Petrol,102000,Manual,1198.0,1,2011,-,CarDekho, MPI AMBIENTE ,15,15,0,True,15,True,6800.0,False,0.06666666666666667
10363,HYUNDAI EON,170000.0,,New Delhi,2015,Petrol,25769,Manual,814.0,1,2015,Third Party,CarDekho,ERA PLUS,11,11,4,False,109,False,2342.64,False,0.09090909090909091
10364,HYUNDAI I10,160000.0,,New Delhi,2012,Petrol,80000,Manual,1197.0,2,2012,-,CarDekho,SPORTZ,14,14,1,True,373,False,5714.29,False,0.14285714285714285
10365,HYUNDAI SANTRO XING,140000.0,,New Delhi,2012,Petrol,56000,Manual,1086.0,2,2012,-,CarDekho,GL,14,14,1,True,30,False,4000.0,False,0.14285714285714285
10366,TOYOTA COROLLA ALTIS,150000.0,,Faridabad,2011,Petrol,160000,Manual,1798.0,1,2011,-,CarDekho,G,15,15,0,True,43,True,10666.67,False,0.06666666666666667
10368,HYUNDAI I10,110000.00000000001,,Noida,2011,Petrol,145000,Manual,1197.0,1,2011,-,CarDekho,MAGNA,15,15,0,True,373,True,9666.67,False,0.06666666666666667
10369,MARUTI WAGON R,125000.0,,Rohtak,2013,CNG,80000,Manual,998.0,2,2013,-,CarDekho,LXI ,13,13,2,True,595,True,6153.85,False,0.15384615384615385
10370,CHEVROLET SAIL,180000.0,,New Delhi,2016,Petrol,150000,Manual,1199.0,1,2016,-,CarDekho, BASE,10,10,5,False,5,False,15000.0,False,0.1
10372,VOLKSWAGEN POLO,160000.0,,New Delhi,2011,Petrol,100000,Manual,1198.0,2,2011,-,CarDekho,IPL II   HIGHLINE,15,15,0,True,114,False,6666.67,False,0.13333333333333333
10373,FORD FIESTA CLASSIC,112000.00000000001,,New Delhi,2011,Petrol,30000,Manual,1596.0,1,2011,-,CarDekho, DUREC CLXI,15,15,0,True,1,False,2000.0,False,0.06666666666666667
10374,MARUTI WAGON R,180000.0,,New Delhi,2015,Petrol,18186,Manual,998.0,2,2015,Third Party,CarDekho,VXI BS IV,11,11,4,False,595,False,1653.27,False,0.18181818181818182
10375,TOYOTA ETIOS,158000.0,,Gurgaon,2011,Petrol,90000,Manual,1496.0,1,2011,-,CarDekho,VX,15,15,0,True,144,True,6000.0,False,0.06666666666666667
10376,MARUTI ALTO 800,197000.0,,New Delhi,2015,Petrol,61598,Manual,796.0,1,2015,Third Party,CarDekho,LXI,11,11,4,False,57,False,5599.82,False,0.09090909090909091
10377,MARUTI WAGON R,190000.0,,New Delhi,2013,CNG,70000,Manual,998.0,1,2013,-,CarDekho,LXI ,13,13,2,True,595,False,5384.62,False,0.07692307692307693
10378,MARUTI ALTO 800,150000.0,,Gurgaon,2012,Petrol,20488,Manual,796.0,1,2012,-,CarDekho,LX,14,14,1,True,57,True,1463.43,False,0.07142857142857142
10379,HONDA CITY,172000.0,,New Delhi,2011,Petrol,140000,Manual,1497.0,1,2011,-,CarDekho, S ,15,15,0,True,684,False,9333.33,False,0.06666666666666667
10380,MARUTI WAGON R,157000.0,,New Delhi,2014,Petrol,64178,Manual,998.0,1,2014,Third Party,CarDekho,VXI BS IV,12,12,3,True,595,False,5348.17,False,0.08333333333333333
10381,MARUTI SWIFT,149000.0,,New Delhi,2012,Petrol,160000,Manual,1197.0,3,2012,-,CarDekho,LXI,14,14,1,True,594,False,11428.57,False,0.21428571428571427
10382,HYUNDAI I10,200000.0,,Hisar,2015,Petrol,120000,Manual,1086.0,1,2015,-,CarDekho,MAGNA ,11,11,4,False,373,True,10909.09,False,0.09090909090909091
10383,MARUTI SWIFT,190000.0,,Noida,2012,Petrol,81500,Manual,1197.0,1,2012,-,CarDekho,VXI,14,14,1,True,594,True,5821.43,False,0.07142857142857142
10384,RENAULT KWID,152000.0,,bahadurgarh,2016,Petrol,66721,Manual,799.0,1,2016,Third Party,CarDekho,RXL,10,10,5,False,190,True,6672.1,False,0.1
10385,HYUNDAI I20,150000.0,,New Delhi,2010,Petrol,93000,Manual,1197.0,1,2010,-,CarDekho,MAGNA,16,16,-1,True,314,False,5812.5,False,0.0625
10386,MARUTI WAGON R,160000.0,,Faridabad,2014,CNG,120000,Manual,998.0,2,2014,-,CarDekho,LXI ,12,12,3,True,595,True,10000.0,False,0.16666666666666666
10387,RENAULT KWID,166000.0,,Faridabad,2018,Petrol,61579,Manual,999.0,1,2017,-,CarDekho, RXT,9,8,6,False,190,True,6842.11,False,0.1111111111111111
10388,MARUTI WAGON R,160000.0,,New Delhi,2012,CNG,115000,Manual,998.0,1,2012,-,CarDekho,LXI ,14,14,1,True,595,False,8214.29,False,0.07142857142857142
10389,RENAULT KWID,190000.0,,Gurgaon,2017,Petrol,80000,Manual,999.0,2,2017,-,CarDekho, RXL,9,9,6,False,190,True,8888.89,False,0.2222222222222222
10390,MAHINDRA NUVOSPORT,175000.0,,ballabhgarh,2016,Diesel,74000,Manual,1493.0,2,2016,-,CarDekho,N4 PLUS,10,10,0,True,1,True,7400.0,False,0.2
10391,HYUNDAI I20,200000.0,,Ghaziabad,2012,Petrol,100000,Manual,1197.0,2,2012,-,CarDekho, SPORTZ,14,14,1,True,314,True,7142.86,False,0.14285714285714285
10392,MARUTI ALTO 800,200000.0,,Noida,2017,Petrol,59500,Manual,796.0,1,2017,-,CarDekho,LXI,9,9,6,False,57,True,6611.11,False,0.1111111111111111
10393,MARUTI WAGON R,180000.0,,Faridabad,2017,CNG,120000,Manual,998.0,2,2017,-,CarDekho,LXI ,9,9,6,False,595,True,13333.33,False,0.2222222222222222
10394,HYUNDAI SANTRO XING,110000.00000000001,,ballabhgarh,2013,Petrol,90000,Manual,1086.0,1,2013,-,CarDekho,GL,13,13,2,True,30,True,6923.08,False,0.07692307692307693
10395,NISSAN SUNNY,195000.0,,New Delhi,2013,Petrol,86000,Automatic,1498.0,2,2013,Third Party,CarDekho,XL CVT,13,13,2,True,13,False,6615.38,False,0.15384615384615385
10396,HYUNDAI I10,194000.0,,Faridabad,2015,Petrol,96525,Manual,1197.0,1,2015,Third Party,CarDekho,MAGNA  ITECH SE,11,11,4,False,373,True,8775.0,False,0.09090909090909091
10398,HYUNDAI I10,158000.0,,New Delhi,2013,Petrol,23000,Manual,1086.0,1,2013,-,CarDekho,ERA,13,13,2,True,373,False,1769.23,False,0.07692307692307693
10399,MARUTI ALTO 800,155000.0,,New Delhi,2014,Petrol,33644,Manual,796.0,1,2014,Comprehensive,CarDekho,VXI,12,12,3,True,57,False,2803.67,False,0.08333333333333333
10400,TOYOTA COROLLA ALTIS,200000.0,,New Delhi,2011,Petrol,60000,Manual,1798.0,1,2011,Third Party,CarDekho, J,15,15,0,True,43,False,4000.0,False,0.06666666666666667
10402,MARUTI WAGON R,181000.0,,New Delhi,2014,CNG,77879,Manual,998.0,2,2014,Third Party,CarDekho,LXI ,12,12,3,True,595,False,6489.92,False,0.16666666666666666
10403,HYUNDAI I20,155000.0,,New Delhi,2011,Petrol,66006,Manual,1197.0,2,2011,Third Party,CarDekho, ASTA,15,15,0,True,314,False,4400.4,False,0.13333333333333333
10404,VOLKSWAGEN POLO,150000.0,,New Delhi,2013,Petrol,120000,Manual,1198.0,3,2013,-,CarDekho, COMFORTLINE ,13,13,2,True,114,False,9230.77,False,0.23076923076923078
10405,RENAULT KWID,200000.0,,New Delhi,2017,Petrol,57000,Manual,999.0,2,2017,-,CarDekho,CLIMBER  ,9,9,6,False,190,False,6333.33,False,0.2222222222222222
10406,NISSAN MICRA ACTIVE,192000.0,,Gurgaon,2018,Petrol,50586,Manual,1198.0,2,2018,Comprehensive,CarDekho,XV S,8,8,7,False,5,True,6323.25,False,0.25
10407,HONDA CITY,175000.0,,New Delhi,2013,Petrol,120556,Manual,1497.0,1,2013,Comprehensive,CarDekho, E ,13,13,2,True,684,False,9273.54,False,0.07692307692307693
10409,MARUTI ALTO 800,181000.0,,New Delhi,2014,Petrol,50000,Manual,796.0,1,2014,-,CarDekho,VXI,12,12,3,True,57,False,4166.67,False,0.08333333333333333
10411,TATA INDIGO,150000.0,,New Delhi,2015,Petrol,150000,Manual,1193.0,3,2015,-,CarDekho,EGLS BS IV,11,11,4,False,1,False,13636.36,False,0.2727272727272727
10412,HYUNDAI VERNA,133000.0,,New Delhi,2011,Petrol,160000,Manual,1396.0,1,2011,-,CarDekho, VTVT,15,15,0,True,220,False,10666.67,False,0.06666666666666667
10413,MARUTI A-STAR,120000.0,,New Delhi,2012,Petrol,160000,Manual,998.0,1,2012,-,CarDekho,VXI,14,14,1,True,5,False,11428.57,False,0.07142857142857142
10414,HYUNDAI I20,145000.0,,New Delhi,2011,Petrol,67000,Manual,1197.0,1,2011,-,CarDekho, SPORTZ,15,15,0,True,314,False,4466.67,False,0.06666666666666667
10415,HYUNDAI GRAND I10,200000.0,,New Delhi,2014,Petrol,51000,Manual,1197.0,1,2014,Comprehensive,CarDekho,ASTA,12,12,3,True,457,False,4250.0,False,0.08333333333333333
10417,MARUTI ALTO 800,160000.0,,Gurgaon,2014,Petrol,80000,Manual,796.0,2,2014,-,CarDekho,LXI,12,12,3,True,57,True,6666.67,False,0.16666666666666666
10418,HONDA CITY,110000.00000000001,,New Delhi,2011,Petrol,160000,Manual,1497.0,2,2011,-,CarDekho, V ,15,15,0,True,684,False,10666.67,False,0.13333333333333333
10419,HYUNDAI I10,193000.0,,New Delhi,2015,Petrol,43839,Manual,1086.0,1,2015,Third Party,CarDekho,MAGNA ,11,11,4,False,373,False,3985.36,False,0.09090909090909091
10420,MARUTI SWIFT DZIRE,180000.0,,New Delhi,2012,Petrol,74000,Manual,1197.0,2,2012,-,CarDekho,VXI,14,14,1,True,92,False,5285.71,False,0.14285714285714285
10421,HYUNDAI EON,153000.0,,New Delhi,2015,Petrol,58654,Manual,814.0,1,2015,Third Party,CarDekho,SPORTZ,11,11,4,False,109,False,5332.18,False,0.09090909090909091
10422,MARUTI ALTO 800,160000.0,,New Delhi,2015,Petrol,80000,Manual,796.0,2,2015,-,CarDekho,LXI,11,11,4,False,57,False,7272.73,False,0.18181818181818182
10423,TOYOTA ETIOS,125000.0,,New Delhi,2011,Petrol,80000,Manual,1496.0,1,2011,-,CarDekho,G,15,15,0,True,144,False,5333.33,False,0.06666666666666667
10424,HYUNDAI I10,156000.0,,New Delhi,2015,Petrol,27221,Manual,1086.0,3,2014,Third Party,CarDekho,MAGNA ,12,11,3,True,373,False,2268.42,False,0.25
10425,HYUNDAI I10,170000.0,,New Delhi,2013,Petrol,60000,Manual,1197.0,2,2013,-,CarDekho,MAGNA,13,13,2,True,373,False,4615.38,False,0.15384615384615385
10426,TOYOTA COROLLA,130000.0,,Gurgaon,2006,Petrol,70000,Manual,1794.0,1,2006,-,CarDekho,H5,20,20,-5,True,47,True,3500.0,False,0.05
10427,HYUNDAI I10,130000.0,,Meerut,2012,Petrol,120000,Manual,1197.0,3,2012,-,CarDekho,MAGNA,14,14,1,True,373,True,8571.43,False,0.21428571428571427
10429,MARUTI ALTO 800,152000.0,,Gurgaon,2013,Petrol,40000,Manual,796.0,2,2013,-,CarDekho,VXI,13,13,2,True,57,True,3076.92,False,0.15384615384615385
10431,HONDA BRIO,125000.0,,New Delhi,2012,Petrol,80000,Manual,1198.0,3,2012,Comprehensive,CarDekho,V ,14,14,1,True,106,False,5714.29,False,0.21428571428571427
10432,RENAULT KWID,110000.00000000001,,Panipat,2017,Petrol,120000,Manual,799.0,1,2017,-,CarDekho,RELOADED ,9,9,6,False,190,True,13333.33,False,0.1111111111111111
10434,HYUNDAI I10,135000.0,,New Delhi,2014,Petrol,72015,Manual,1086.0,1,2014,Third Party,CarDekho,MAGNA ,12,12,3,True,373,False,6001.25,False,0.08333333333333333
10435,HYUNDAI I10,125000.0,,New Delhi,2011,Petrol,50000,Manual,1197.0,2,2011,-,CarDekho,MAGNA,15,15,0,True,373,False,3333.33,False,0.13333333333333333
10436,HONDA BRIO,150000.0,,New Delhi,2012,Petrol,90000,Manual,1198.0,2,2012,-,CarDekho,V ,14,14,1,True,106,False,6428.57,False,0.14285714285714285
10437,MAHINDRA KUV 100,160000.0,,Gurgaon,2016,Diesel,40000,Manual,1198.0,1,2016,-,CarDekho,MFALCON D75 ANNIVERSARYEDITION,10,10,0,True,10,True,4000.0,False,0.1
10438,HONDA JAZZ,155000.0,,New Delhi,2012,Petrol,65000,Manual,1198.0,2,2012,Third Party,CarDekho,S,14,14,1,True,127,False,4642.86,False,0.14285714285714285
10439,MARUTI ALTO 800,175000.0,,New Delhi,2014,CNG,57000,Manual,796.0,1,2014,Third Party,CarDekho, LXI,12,12,3,True,57,False,4750.0,False,0.08333333333333333
10440,MARUTI WAGON R,150000.0,,Gurgaon,2013,Petrol,105800,Manual,998.0,2,2013,Third Party,CarDekho,VXI,13,13,2,True,595,True,8138.46,False,0.15384615384615385
10441,HYUNDAI I10,150000.0,,Jaipur,2012,Petrol,100000,Manual,1086.0,1,2012,-,CarDekho,ERA,14,14,1,True,373,True,7142.86,False,0.07142857142857142
10442,MARUTI ALTO 800,150000.0,,New Delhi,2012,CNG,150000,Manual,796.0,1,2012,-,CarDekho, LXI,14,14,1,True,57,False,10714.29,False,0.07142857142857142
10443,MARUTI ALTO 800,140000.0,,New Delhi,2013,CNG,70000,Manual,796.0,3,2013,-,CarDekho, LXI,13,13,2,True,57,False,5384.62,False,0.23076923076923078
10444,HYUNDAI I10,120000.0,,Gurgaon,2012,Petrol,80000,Manual,1197.0,1,2012,-,CarDekho,MAGNA,14,14,1,True,373,True,5714.29,False,0.07142857142857142
10446,TOYOTA ETIOS,180000.0,,New Delhi,2011,Petrol,160000,Manual,1496.0,2,2011,-,CarDekho,G,15,15,0,True,144,False,10666.67,False,0.13333333333333333
10447,MARUTI RITZ,130000.0,,New Delhi,2012,Petrol,145000,Manual,1197.0,1,2012,-,CarDekho,VXI,14,14,1,True,51,False,10357.14,False,0.07142857142857142
10448,HONDA CITY,175000.0,,New Delhi,2011,Petrol,120000,Automatic,1497.0,1,2011,-,CarDekho,V ,15,15,0,True,684,False,8000.0,False,0.06666666666666667
10449,MARUTI ALTO K10,178000.0,,New Delhi,2015,Petrol,97358,Automatic,998.0,1,2015,Third Party,CarDekho,VXI A,11,11,4,False,39,False,8850.73,False,0.09090909090909091
