,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
257,HYUNDAI SANTRO,89000.0,STEAL DEAL,DL-4C,1990,CNG,101404,Manual,1086.0,3,2013,Unknown,Cars24,XING GLS,13,36,2,True,136,False,7800.31,False,0.23076923076923078
258,MAHINDRA XUV300,594000.0,STEAL DEAL,DL-10,2019,Diesel,53492,Manual,1497.0,1,2019,Unknown,Cars24,W8  ,7,7,3,True,90,False,7641.71,False,0.14285714285714285
259,MARUTI WAGON R,95000.0,STEAL DEAL,DL-9C,2011,CNG,85647,Manual,998.0,2,2011,3rd Party,Cars24, LXI ,15,15,0,True,595,False,5709.8,False,0.13333333333333333
260,HYUNDAI ELITE,332000.0,STEAL DEAL,DL-8C,2018,CNG,60570,Manual,1197.0,2,2017,3rd Party,Cars24,I20 SPORTZ ,9,8,6,False,143,False,6730.0,False,0.2222222222222222
261,HYUNDAI CRETA,490000.00000000006,STEAL DEAL,DL-8C,2017,CNG,148706,Automatic,1591.0,2,2017,Unknown,Cars24,SX PLUS  ,9,9,6,False,681,False,16522.89,False,0.2222222222222222
262,TATA NEXON,459000.0,STEAL DEAL,DL-11,2019,CNG,53438,Manual,1198.0,2,2019,Unknown,Cars24,XM ,7,7,8,False,367,False,7634.0,False,0.2857142857142857
263,HYUNDAI I20,303000.0,STEAL DEAL,DL-12,2016,Diesel,146000,Manual,1396.0,1,2016,Unknown,Cars24,ACTIVE  SX,10,10,0,True,314,False,14600.0,False,0.1
264,HONDA AMAZE,221000.0,FAIR PRICE,DL-3C,2013,Petrol,63020,Manual,1198.0,1,2013,3rd Party,Cars24, VX,13,13,2,True,408,False,4847.69,False,0.07692307692307693
265,MARUTI RITZ,140000.0,STEAL DEAL,DL-9C,2012,CNG,50096,Manual,1197.0,1,2012,Comprehensive,Cars24,VXI,14,14,1,True,51,False,3578.29,False,0.07142857142857142
266,MARUTI ALTO,168000.0,STEAL DEAL,WB-02,2014,Petrol,35311,Manual,796.0,1,2014,Unknown,Cars24,800 VXI,12,12,3,True,210,True,2942.58,False,0.08333333333333333
267,MARUTI FRONX,811999.9999999999,STEAL DEAL,DL-7C,2024,CNG,43023,Manual,1197.0,1,2024,3rd Party,Cars24,DELTA  ,2,2,13,False,34,False,21511.5,False,0.5
268,VOLKSWAGEN POLO,84000.0,STEAL DEAL,DL-13,2011,Petrol,75931,Manual,1198.0,3,2011,3rd Party,Cars24,TRENDLINE  ,15,15,0,True,114,False,5062.07,False,0.2
269,SKODA SUPERB,1000000.0,HIGH PRICE,DL-11,2016,Petrol,29669,Automatic,1798.0,1,2016,Unknown,Cars24,STYLE  TSI,10,10,5,False,31,False,2966.9,False,0.1
270,MARUTI ALTO,308000.0,GREAT PRICE,DL-2C,2020,Petrol,25557,Manual,796.0,2,2020,3rd Party,Cars24,VXI,6,6,9,False,210,False,4259.5,False,0.3333333333333333
271,TATA SAFARI,1559000.0,HIGH PRICE,23-BH,2023,Diesel,53176,Manual,1956.0,1,2023,Unknown,Cars24,XT PLUS,3,3,7,False,46,False,17725.33,False,0.3333333333333333
272,MARUTI WAGON-R,455000.0,GREAT PRICE,DL-9C,2022,CNG,140812,Manual,998.0,1,2022,Unknown,Cars24,LXI  ,4,4,11,False,114,False,35203.0,False,0.25
273,HYUNDAI CRETA,509000.0,STEAL DEAL,DL-12,2016,Diesel,154896,Manual,1396.0,1,2016,Unknown,Cars24,S  ,10,10,0,True,681,False,15489.6,False,0.1
274,MAHINDRA XUV500,577000.0,STEAL DEAL,HR-26,2017,Diesel,83388,Automatic,2179.0,2,2016,Unknown,Cars24,W10,10,9,0,True,144,True,8338.8,False,0.2
275,MARUTI CIAZ,791000.0,GREAT PRICE,DL-12,2022,Petrol,42837,Automatic,1462.0,1,2022,Unknown,Cars24,ZETA  SHVS ,4,4,11,False,268,False,10709.25,False,0.25
276,TATA PUNCH,550000.0,STEAL DEAL,DL-9C,2022,Petrol,44597,Automatic,1199.0,1,2022,Unknown,Cars24,ADVENTURE,4,4,11,False,119,False,11149.25,False,0.25
277,MARUTI WAGON R,92000.0,STEAL DEAL,DL-12,2012,Petrol,176382,Manual,998.0,2,2012,Unknown,Cars24, VXI,14,14,1,True,595,False,12598.71,False,0.14285714285714285
278,HYUNDAI CRETA,660000.0,STEAL DEAL,HR-26,2018,Petrol,99515,Automatic,1591.0,2,2018,Unknown,Cars24,SX  ,8,8,7,False,681,True,12439.38,False,0.25
279,HYUNDAI CRETA,750000.0,FAIR PRICE,DL-9C,2019,Diesel,89342,Manual,1396.0,1,2019,Unknown,Cars24,S  ,7,7,3,True,681,False,12763.14,False,0.14285714285714285
280,HYUNDAI SANTRO,110000.00000000001,STEAL DEAL,DL-9C,2013,CNG,112385,Manual,1086.0,1,2013,Unknown,Cars24,XING GL PLUS,13,13,2,True,136,False,8645.0,False,0.07692307692307693
281,MAHINDRA THAR,1319000.0,HIGH PRICE,DL-4C,2024,Petrol,8600,Automatic,1997.0,1,2024,3rd Party,Cars24,LX P 2WD HT,2,2,13,False,174,False,4300.0,False,0.5
282,KIA SONET,936000.0,FAIR PRICE,DL-3C,2025,Diesel,18449,Manual,1197.0,1,2025,3rd Party,Cars24,HTE (O)  ,1,1,9,False,223,False,18449.0,False,1.0
